"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","448","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","485","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","450","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","461","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","465","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","537","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","533","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","582","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3467","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3355","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3461","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3551","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3503","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3374","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3371","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3453","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Clothing and accessories","Dollars","81","units","0","v54325525","1.1.18","3344","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","11156","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","11262","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","11202","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","12044","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","11891","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","11761","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","11909","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","12721","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Transportation","Dollars","81","units","0","v54325530","1.1.23","12737","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10097","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10193","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10076","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10832","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10717","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10538","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","10660","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","11436","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Private transportation","Dollars","81","units","0","v54325531","1.1.24","11258","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1060","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1069","","","","0"
